byte,bit,nummer
180,0,700000
180,1,700001
180,2,700002
180,3,700003
180,4,700004
180,5,700005
180,6,700006
180,7,700007
181,0,700008
181,1,700009
181,2,700010
181,3,700011
181,4,700012
181,5,700013
181,6,700014
181,7,700015
182,0,700016
182,1,700017
182,2,700018
182,3,700019
182,4,700020
182,5,700021
182,6,700022
182,7,700023
183,0,700024
183,1,700025
183,2,700026
183,3,700027
183,4,700028
183,5,700029
183,6,700030
183,7,700031
184,0,700032
184,1,700033
184,2,700034
184,3,700035
184,4,700036
184,5,700037
184,6,700038
184,7,700039
185,0,700040
185,1,700041
185,2,700042
185,3,700043
185,4,700044
185,5,700045
185,6,700046
185,7,700047
186,0,700048
186,1,700049
186,2,700050
186,3,700051
186,4,700052
186,5,700053
186,6,700054
186,7,700055
187,0,700056
187,1,700057
187,2,700058
187,3,700059
187,4,700060
187,5,700061
187,6,700062
187,7,700063
188,0,700100
188,1,700101
188,2,700102
188,3,700103
188,4,700104
188,5,700105
188,6,700106
188,7,700107
189,0,700108
189,1,700109
189,2,700110
189,3,700111
189,4,700112
189,5,700113
189,6,700114
189,7,700115
190,0,700116
190,1,700117
190,2,700118
190,3,700119
190,4,700120
190,5,700121
190,6,700122
190,7,700123
191,0,700124
191,1,700125
191,2,700126
191,3,700127
191,4,700128
191,5,700129
191,6,700130
191,7,700131
192,0,700132
192,1,700133
192,2,700134
192,3,700135
192,4,700136
192,5,700137
192,6,700138
192,7,700139
193,0,700140
193,1,700141
193,2,700142
193,3,700143
193,4,700144
193,5,700145
193,6,700146
193,7,700147
194,0,700148
194,1,700149
194,2,700150
194,3,700151
194,4,700152
194,5,700153
194,6,700154
194,7,700155
195,0,700156
195,1,700157
195,2,700158
195,3,700159
195,4,700160
195,5,700161
195,6,700162
195,7,700163
196,0,700200
196,1,700201
196,2,700202
196,3,700203
196,4,700204
196,5,700205
196,6,700206
196,7,700207
197,0,700208
197,1,700209
197,2,700210
197,3,700211
197,4,700212
197,5,700213
197,6,700214
197,7,700215
198,0,700216
198,1,700217
198,2,700218
198,3,700219
198,4,700220
198,5,700221
198,6,700222
198,7,700223
199,0,700224
199,1,700225
199,2,700226
199,3,700227
199,4,700228
199,5,700229
199,6,700230
199,7,700231
200,0,700232
200,1,700233
200,2,700234
200,3,700235
200,4,700236
200,5,700237
200,6,700238
